151.12,66.69,-38.03,-232.86,-47.34,67.34,-0.20,0.12,0.67
152.15,67.56,-36.78,-250.95,-44.33,76.46,-0.21,0.10,0.64
153.80,68.38,-34.83,-240.90,-24.26,92.69,-0.14,0.06,0.66
156.53,68.99,-31.72,-238.89,-54.37,85.59,-0.15,0.16,0.60
157.53,69.37,-30.45,-241.90,-68.42,74.44,-0.13,0.20,0.66
157.93,69.87,-30.01,-235.88,-68.42,78.49,-0.19,0.19,0.84
158.60,70.27,-29.24,-234.87,-62.39,76.46,-0.13,0.23,0.94
159.96,70.81,-27.74,-240.90,-49.35,78.49,-0.08,0.23,1.06
162.09,71.45,-25.47,-238.89,-26.27,78.49,-0.10,0.27,1.10
165.92,72.26,-21.53,-238.89,-11.22,70.38,-0.17,0.31,1.14
170.24,73.14,-17.05,-248.94,-8.21,60.24,-0.14,0.32,1.11
175.15,74.19,-12.00,-240.90,-0.18,63.28,-0.11,0.33,1.16
-179.39,74.86,-6.40,-238.89,-1.18,59.23,-0.10,0.32,1.18
-173.68,75.41,-0.65,-244.92,0.82,57.20,-0.15,0.30,1.22
-168.06,75.82,4.97,-241.90,2.83,70.38,-0.15,0.31,1.25
-162.06,75.82,11.14,-237.89,1.83,70.38,0.02,0.38,1.33
-156.22,75.58,17.07,-238.89,10.86,53.14,-0.01,0.35,1.52
-148.91,75.44,24.39,-241.90,31.93,56.19,-0.06,0.37,1.66
-141.57,74.24,32.13,-269.03,59.02,-12.76,0.25,-0.09,1.93
-132.77,74.01,41.81,-249.94,127.26,97.76,0.43,-0.15,1.49
-128.31,72.14,46.83,-228.84,121.24,83.56,0.22,0.28,0.98
-124.17,70.27,51.25,-234.87,56.01,39.96,-0.04,0.46,0.86
-121.32,69.94,54.34,-227.84,47.98,61.26,-0.02,0.40,0.98
-119.72,69.38,56.12,-225.83,52.00,60.24,-0.01,0.45,1.05
-117.87,68.73,58.00,-230.85,46.98,48.08,-0.10,0.51,1.17
-115.37,68.12,60.78,-228.84,72.07,40.98,0.10,0.55,1.38
-112.38,67.16,64.26,-222.82,103.17,49.09,0.25,0.58,1.41
-109.64,65.59,67.86,-219.80,135.29,22.73,0.50,0.61,1.31
-106.21,63.83,72.19,-237.89,172.41,-7.69,0.43,0.59,1.19
-102.91,62.05,76.21,-233.87,169.40,7.52,0.11,0.46,1.06
-100.94,60.72,78.73,-218.80,129.26,16.64,0.01,0.50,0.73
-99.83,59.60,80.00,-205.74,83.11,11.57,-0.24,0.42,0.94
-98.91,58.87,81.42,-215.78,104.18,28.81,0.08,0.43,1.16
-98.47,58.17,82.59,-212.77,149.33,41.99,0.38,0.52,1.04
-98.37,56.75,83.25,-212.77,180.44,13.60,0.27,0.57,0.92
-97.58,55.27,84.35,-207.74,173.42,-9.72,-0.10,0.49,0.78
-96.49,53.98,86.05,-211.76,179.44,-11.75,-0.02,0.39,0.71
-95.79,53.08,87.50,-207.74,145.32,-9.72,0.11,0.34,0.48
-95.34,52.73,88.49,-200.71,119.23,9.55,-0.08,0.28,0.48
-95.46,52.45,88.62,-199.71,128.26,24.75,-0.16,0.33,0.70
-95.86,52.07,88.59,-208.75,158.36,2.45,0.07,0.39,0.66
-95.71,51.47,89.30,-190.67,150.34,-1.61,0.11,0.36,0.60
-95.55,50.68,89.88,-183.63,171.41,-2.62,-0.06,0.36,0.69
-95.37,49.43,90.46,-204.73,220.58,-14.79,-0.04,0.38,0.77
-95.17,48.31,91.59,-216.79,253.69,-39.12,0.31,0.33,0.49
-95.29,47.93,92.29,-211.76,236.63,-55.34,0.16,0.09,-0.01
-95.39,47.66,93.01,-191.67,167.40,-18.84,-0.00,-0.05,-0.11
-95.70,47.82,93.31,-193.68,149.33,0.42,-0.03,0.00,-0.04
-96.51,48.26,93.03,-194.68,135.29,-13.77,0.03,-0.00,-0.01
-96.96,48.73,93.25,-193.68,155.35,-4.65,0.07,-0.03,0.08
-97.61,48.94,93.07,-198.70,187.46,-2.62,-0.03,0.00,0.03
-98.35,48.74,92.76,-194.68,174.42,-14.79,-0.04,-0.03,-0.01
-98.77,48.70,92.99,-193.68,173.42,-0.59,0.04,-0.03,-0.02
-99.44,48.68,92.78,-196.69,149.33,19.69,0.04,0.03,-0.03
-100.58,49.03,91.92,-190.67,190.47,-28.98,0.00,0.05,0.05
-100.53,48.48,92.67,-202.72,240.65,-30.00,0.04,0.01,0.13
-100.86,48.10,93.11,-207.74,233.62,-38.11,0.15,-0.06,-0.16
-101.33,48.21,93.56,-207.74,218.57,-74.61,0.16,-0.20,-0.47
-101.69,48.71,94.48,-199.71,200.51,-51.29,0.28,-0.50,-0.72
-102.44,49.41,95.12,-194.68,181.44,-0.59,0.36,-0.62,-0.85
-104.20,50.30,93.99,-197.70,175.42,3.46,0.09,-0.59,-0.94
-106.08,51.27,92.57,-198.70,125.25,4.48,-0.04,-0.59,-0.94
-107.83,52.74,91.46,-191.67,117.22,44.02,0.09,-0.61,-0.81
-110.32,54.02,89.36,-202.72,121.24,37.94,0.11,-0.43,-0.71
-112.44,55.15,87.53,-212.77,124.25,3.46,0.04,-0.34,-0.65
-113.72,56.36,86.88,-216.79,153.35,-16.82,0.06,-0.40,-0.67
-114.50,57.14,86.95,-215.78,181.44,-30.00,0.12,-0.53,-0.83
-115.32,57.68,87.14,-218.80,180.44,-17.83,0.13,-0.65,-1.02
-116.49,58.28,86.86,-220.81,164.39,-0.59,0.14,-0.66,-1.10
-118.34,59.21,85.88,-216.79,147.33,15.63,0.17,-0.69,-1.23
-120.64,60.16,84.23,-218.80,110.20,24.75,0.11,-0.68,-1.21
-123.46,61.69,81.66,-212.77,101.17,31.85,-0.18,-0.63,-1.16
-126.17,62.96,78.95,-228.84,83.11,38.95,-0.35,-0.54,-1.08
-129.60,64.61,76.02,-229.85,111.20,24.75,0.10,-0.53,-1.08
-131.97,65.57,74.31,-235.88,112.21,23.74,0.15,-0.54,-1.11
-134.46,66.49,72.51,-231.86,106.18,35.91,0.13,-0.57,-1.11
-137.42,67.29,69.95,-235.88,85.11,31.85,-0.05,-0.53,-1.15
-140.81,68.53,66.92,-237.89,79.09,29.82,-0.10,-0.54,-1.19
-144.19,69.68,63.83,-233.87,66.05,56.19,-0.15,-0.58,-1.20
-149.39,70.68,58.73,-228.84,65.04,60.24,-0.22,-0.48,-1.20
-154.17,71.32,54.17,-240.90,44.97,46.05,-0.10,-0.43,-1.13
-158.99,72.35,49.68,-244.92,56.01,46.05,-0.02,-0.44,-1.11
-163.53,73.07,45.58,-244.92,60.03,50.10,0.02,-0.45,-1.10
-168.03,73.55,41.57,-236.88,41.96,56.19,0.06,-0.46,-1.20
-174.30,74.14,35.45,-240.90,55.01,71.40,-0.21,-0.39,-1.33
-179.72,74.32,30.10,-237.89,19.89,82.55,-0.28,-0.22,-1.43
172.44,74.44,22.52,-241.90,9.85,68.35,-0.05,-0.18,-1.33
165.66,74.54,16.05,-246.93,3.83,50.10,-0.00,-0.28,-1.20
159.24,74.84,9.91,-246.93,-3.19,50.10,-0.04,-0.33,-1.11
153.15,74.93,4.21,-240.90,-2.19,60.24,0.06,-0.35,-1.07
147.37,74.63,-1.38,-247.93,-20.25,80.52,-0.12,-0.34,-1.09
141.49,73.93,-6.99,-254.97,-21.25,76.46,-0.02,-0.25,-1.05
136.65,73.29,-11.46,-232.86,-7.20,77.48,0.04,-0.25,-0.95
133.37,72.54,-14.43,-227.84,-17.24,80.52,-0.07,-0.27,-1.04
128.94,71.66,-18.24,-255.97,-49.35,39.96,0.12,-0.18,-1.25
123.34,71.53,-23.43,-221.81,-38.31,75.45,0.13,-0.27,-1.02
120.31,70.41,-25.95,-245.92,-63.40,119.05,0.13,-0.38,-0.94
117.56,68.97,-28.75,-204.73,-119.59,128.17,-0.38,-0.12,-0.87
113.77,67.01,-32.68,-226.83,-156.72,95.73,-0.27,0.18,-0.42
110.64,66.00,-35.72,-235.88,-109.56,43.01,0.08,0.06,0.07
107.90,66.21,-38.61,-249.94,-47.34,72.41,-0.07,-0.07,0.29
108.61,66.83,-37.72,-276.06,1.83,73.42,-0.09,0.01,0.25
110.50,67.89,-35.44,-254.97,14.87,71.40,-0.10,0.02,0.05
112.78,68.68,-32.80,-238.89,-4.19,65.31,-0.16,-0.10,-0.21
113.27,69.02,-31.59,-240.90,53.00,41.99,0.17,-0.09,-0.45
114.61,69.95,-29.32,-225.83,-11.22,36.92,0.19,-0.19,-0.97
112.58,69.94,-30.71,-258.98,-44.33,72.41,0.19,-0.24,-0.90
109.89,69.37,-32.62,-239.89,-46.34,89.65,0.31,-0.15,-0.92
